City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,itoman,26.1247,127.6694,18.01,55,20,9.26,JP,1673049333
215,vila,42.0304,-8.1588,7.06,85,99,3.94,PT,1673049334
216,butaritari,3.0707,172.7902,27.13,76,43,6.0,KI,1673049334
217,yagodnoye,62.55,149.6667,-36.53,96,100,0.89,RU,1673049335
218,luanda,-8.8368,13.2343,26.0,89,75,4.12,AO,1673049335
219,mahebourg,-20.4081,57.7,25.7,83,40,1.54,MU,1673049336
220,ponta do sol,32.6667,-17.1,18.34,71,27,2.04,PT,1673049336
221,jurm,36.8648,70.8342,1.99,56,90,3.61,AF,1673049337
222,pasni,25.2631,63.471,19.75,57,81,2.05,PK,1673049337
223,boca do acre,-8.7522,-67.3978,22.16,96,96,1.1,BR,1673049338
224,ahipara,-35.1667,173.1667,21.49,77,100,1.75,NZ,1673049338
225,east london,-33.0153,27.9116,16.18,72,82,3.05,ZA,1673049338
226,lakes entrance,-37.8811,147.981,20.09,58,2,5.55,AU,1673049339
227,conde,-7.2597,-34.9075,26.7,74,20,3.09,BR,1673049340
228,alofi,-19.0595,-169.9187,25.94,94,100,4.12,NU,1673049340
229,hope,33.6671,-93.5916,11.11,83,26,2.76,US,1673049341
230,buala,-8.145,159.5921,28.25,77,99,3.26,SB,1673049341
231,touros,-5.1989,-35.4608,26.13,72,19,5.32,BR,1673049342
232,svetlyy,54.675,20.1347,-4.97,92,100,6.5,RU,1673049342
233,hlobyne,49.3878,33.2596,-6.37,55,59,4.02,UA,1673049343
234,parintins,-2.6283,-56.7358,23.79,92,100,1.77,BR,1673049343
235,norman wells,65.282,-126.8329,-19.98,84,75,2.06,CA,1673049344
236,kaitangata,-46.2817,169.8464,14.4,58,82,4.17,NZ,1673049344
237,jumla,29.2747,82.1838,1.39,14,21,2.5,NP,1673049346
238,biak,-0.9131,122.8766,26.36,76,100,0.65,ID,1673049346
239,te anau,-45.4167,167.7167,15.29,70,96,1.64,NZ,1673049346
240,medicine hat,50.0501,-110.6683,2.62,74,75,6.69,CA,1673049347
241,san quintin,30.4833,-115.95,16.13,63,100,5.36,MX,1673049347
242,hornepayne,49.2138,-84.7705,-12.29,97,100,2.57,CA,1673049348
243,rocha,-34.4833,-54.3333,19.4,81,3,5.01,UY,1673049049
244,green river,41.5286,-109.4662,-0.45,8,100,0.89,US,1673049348
245,matagami,49.7502,-77.6328,-10.94,85,100,2.57,CA,1673049349
246,tezpur,26.6333,92.8,11.35,63,0,1.58,IN,1673049349
247,plettenberg bay,-34.0527,23.3716,15.71,72,3,1.41,ZA,1673049167
248,hirara,24.8,125.2833,17.92,72,75,11.32,JP,1673049350
249,karpathos,35.507,27.2132,11.98,82,20,4.12,GR,1673049351
250,dunedin,-45.8742,170.5036,15.45,95,92,3.02,NZ,1673049351
251,beira,-19.8436,34.8389,27.05,88,75,1.41,MZ,1673049351
252,vigrestad,58.5667,5.7,7.82,90,73,4.85,NO,1673049352
253,novobirilyussy,56.9514,90.6661,-19.0,95,87,3.88,RU,1673049352
254,hede,33.7681,120.2517,4.29,32,0,0.76,CN,1673049353
255,eureka,40.8021,-124.1637,13.34,84,100,4.47,US,1673049179
256,raudeberg,61.9875,5.1352,6.04,1,100,11.35,NO,1673049354
257,roald,62.5833,6.1333,5.08,87,100,8.75,NO,1673049354
